name,symbol,quote,category,market_cap,price,volume_24h,circulating_supply,blockchain
Shiba Inu,SHIB,1.32114073804689e-05,memes,7785079997.71647,1.32114073804689e-05,119895360.971143,589269543623759.0,Ethereum
Pepe,PEPE,7.263539155071302e-06,memes,3055697560.792993,7.263539155071302e-06,340676763.1714609,420689899999994.8,Ethereum
Bittensor,TAO,297.58537052077827,ai-big-data,2196458574.350151,297.58537052077827,68993165.56473702,7380936.0,No asociado a ningun blockchain
dogwifhat,WIF,1.4866423383770628,memes,1484926037.6552255,1.4866423383770628,164348472.99944863,998845518.73875,Solana
The Graph,GRT,0.1407584459120392,ai-big-data,1344036455.9722705,0.1407584459120392,28494513.67167933,9548531509.165474,Ethereum
Bonk,BONK,1.6354030443238323e-05,memes,1151311041.246185,1.6354030443238323e-05,62601722.03688308,70399223313308.8,Ethereum
FLOKI,FLOKI,0.0001194266405237,gaming,1144731706.638935,0.0001194266405237,104380745.03445868,9585229071324.57,Ethereum
Notcoin,NOT,0.0074376951799974,gaming,762173522.0814301,0.0074376951799974,76770402.21550035,102474423008.2429,Toncoin
Brett (Based),BRETT,0.0754369054465675,memes,747597565.882747,0.0754369054465675,10601014.32365855,9910236395.0,Base
Beam,BEAM,0.0146089529940411,gaming,722646529.6933571,0.0146089529940411,18495241.69518827,49466004168.0,Ethereum
Popcat (SOL),POPCAT,0.6767964314199264,memes,663242354.2245008,0.6767964314199264,80782728.64006908,979973184.6,Solana
BinaryX,BNX,1.4383421657739286,gaming,537526091.3517569,1.4383421657739286,6819468.46803363,373712252.99685925,BNB
DOGS,DOGS,0.0010216081361553,memes,527916004.3582835,0.0010216081361553,272464426.4847043,516750000000.0,Toncoin
BOOK OF MEME,BOME,0.0059806254728243,memes,412434474.9824712,0.0059806254728243,67820520.71212955,68961762754.84071,Solana
cat in a dogs world,MEW,0.0040655278699225,memes,361380255.1006116,0.0040655278699225,25858244.12331865,88888888888.0,Solana
Mog Coin,MOG,9.038424301412358e-07,memes,325787912.7645396,9.038424301412358e-07,13701034.61883355,360447686344655.8,Ethereum
Echelon Prime,PRIME,8.14652121164161,ai-big-data,291432354.52839434,8.14652121164161,3630773.70450193,35773841.0,Ethereum
io.net,IO,1.7041830070039985,ai-big-data,204990778.4691108,1.7041830070039985,34776926.18909656,120286834.0,Solana
Polymesh,POLYX,0.2143229080109543,real-world-assets,188096901.58858147,0.2143229080109543,7427307.3626875,877633209.320618,Polkadot
